document,text
01-19-2016 12:50:01,Wow new polls just out have Trump up and Cruz down - he is a nervous wreck!
01-19-2016 14:18:57,.@tedcruz Conflicting Stances on Birthright Citizenship [14th Amendment] Gives #TeamTrump credit. 
01-19-2016 14:44:25,Dope Frank Bruni said I called many people including Karl Rove losers-true! I never called my friend @HowardStern a loser- he’s a winner!
01-19-2016 14:44:43,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.
01-19-2016 15:04:29,On my way to Iowa- just received new national poll numbers. Thank you!#MakeAmericaGreatAgain #Trump2016 
01-19-2016 15:17:09,.@FreeJesseJames- Just read your complete statement. You are an amazing guy  I really appreciate your words  support. I will see you soon!
01-19-2016 15:22:12,Thank you Georgia! I appreciate all of your support. #Trump2016 
01-19-2016 15:47:20,Thank you for your strong testimony when welcoming me to Liberty University yesterday- @JerryJrFalwell. 
01-19-2016 16:19:49,In the just released SC poll I increased my lead by 4 points since last poll by same firm. Up by 14! Cruz dropped 3. 
01-19-2016 18:11:19,A true honor to receive the endorsement of John Wayne's daughter....read:  
01-19-2016 18:47:51,Wow the highly respected Governor of Iowa just stated that Ted Cruz must be defeated. Big shoker! People do not like Ted.
01-19-2016 22:35:08,“Palin’s brand among evangelicals is as gold as the faucets in Trump tower” said Ralph Reed the chairman of the Faith  Freedom Coalition.
01-20-2016 01:48:36,#Trump2016 #MakeAmericaGreatAgain #ECONOMY - VIDEO:  
01-20-2016 01:49:58,Judge Jeanine Slams GOP Establishment:
01-20-2016 04:05:45,I am greatly honored to receive Sarah Palin's endorsement tonight. Video:  
01-20-2016 13:40:29,#MakeAmericaGreatAgain #Trump2016LIFE CHANGING EXPERIENCEVideo:  
01-20-2016 15:53:12,Great rally in Iowa! Such wonderful people. Traveling now with @SarahPalinUSA to Tulsa- massive crowd expected! 
01-20-2016 20:52:01,15K in OK! Had to turn away 5k but we are coming back soon to take care of them! So much love in the crowd! Thanks! 
01-20-2016 22:43:06,Thank you Florida! #Trump2016 
01-20-2016 22:44:55,Thank you New Hampshire! #FITN#Trump2016 #NHPolitics 
01-20-2016 23:40:20,Bob Dole Warns of ‘Cataclysmic’ Losses With Ted Cruz and Says Donald Trump Would Do Better via New York Times: 
01-20-2016 23:42:28,New CNN/WMUR New Hampshire poll just released. Thank you! #FITN #Trump2016 
01-21-2016 13:42:48,Wacko @glennbeck is a sad answer to the @SarahPalinUSA endorsement that Cruz so desperately wanted. Glenn is a failing crying lost soul!
01-21-2016 13:52:42,#MakeAmericaGreatAgain #Trump2016UNIFYING THE NATIONVideo:  
01-21-2016 14:04:54,So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!
01-21-2016 14:19:26,Sad sack @JebBush has just done another ad on me with special interest money saying I won't beat Hillary - I WILL. But he can't beat me.
01-21-2016 14:32:57,Low energy candidate @JebBush has wasted $80 million on his failed presidential campaign. Millions spent on me. He should go home and relax!
01-21-2016 20:36:09,New Day on CNN treats me very badly. @AlisynCamerota is a disaster. Not going to watch anymore.
01-21-2016 20:40:07,Happy birthday to my friend the great @jacknicklaus - a totally special guy!
01-21-2016 23:21:42,Thank you Iowa! #Trump2016 
01-21-2016 23:29:04,Thank you! #Trump2016 
01-21-2016 23:29:43,Thank you New Hampshire!#Trump2016 
01-21-2016 23:30:55,#Trump2016 #MakeAmericaGreatAgain 
01-22-2016 00:54:16,Why does @Greta have a fired Bushy like dummy John Sununu on- spewing false info? I will beat Hillary by a lot she wants no part of Trump.
01-22-2016 00:57:10,Thank you Iowa! #FITN #IACaucus#MakeAmericaGreatAgain #Trump2016 
01-22-2016 03:56:44,National Review is a failing publication that has lost it's way. It's circulation is way down w its influence being at an all time low. Sad!
01-22-2016 03:56:57,Very few people read the National Review because it only knows how to criticize but not how to lead.
01-22-2016 03:57:22,The late great William F. Buckley would be ashamed of what had happened to his prize the dying National Review!
01-22-2016 13:34:54,Ted Cruz complains about my views on eminent domain but without it we wouldn't have roads highways airports schools or even pipelines.
02-02-2016 20:02:48,Anybody who watched all of Ted Cruz's far too long rambling overly flamboyant speech last nite would say that was his Howard Dean moment!
02-02-2016 22:23:53,On my way to New Hampshire- expecting a big and spirited crowd! #FITN #Trump2016  
02-03-2016 05:12:23,Great job on @donlemon tonight @kayleighmcenany  @cherijacobus begged us for a job. We said no and she went hostile. A real dummy! @CNN
02-03-2016 13:47:33,Ted Cruz didn't win Iowa he stole it. That is why all of the polls were so wrong and why he got far more votes than anticipated. Bad!
02-03-2016 13:56:48,During primetime of the Iowa Caucus Cruz put out a release that @RealBenCarson was quitting the race and to caucus (or vote) for Cruz.
02-03-2016 14:07:25,Many people voted for Cruz over Carson because of this Cruz fraud. Also Cruz sent out a VOTER VIOLATION certificate to thousands of voters.
02-03-2016 14:10:53,The Voter Violation certificate gave poor marks to the unsuspecting voter(grade of F) and told them to clear it up by voting for Cruz. Fraud
02-03-2016 14:21:03,And finally Cruz strongly told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and choice - a total lie!
02-03-2016 14:28:59,Based on the fraud committed by Senator Ted Cruz during the Iowa Caucus either a new election should take place or Cruz results nullified.
02-03-2016 19:09:38,I will be interviewed on @greta at 7:00 P.M. Enjoy! @FoxNews
02-03-2016 19:20:55,This was sent out from Ted Cruz- as Iowans arrived at their caucus sites to vote. #CruzFraud 
02-03-2016 19:25:08,The State of Iowa should disqualify Ted Cruz from the most recent election on the basis that he cheated- a total fraud!
02-03-2016 20:22:46,Cruz just lied again- I am and have been totally against #ObamaCare- repeal and replace!
02-03-2016 20:44:28,Dr. Ben Carson blasted Ted Cruz for deceit and dirty tricks and lies.
02-03-2016 20:44:37,Thank you New Hampshire! #MakeAmericaGreatAgain #FITN 
02-03-2016 21:29:03,Stop the assault on American values. Stand w/ Trump to #MakeAmericaGreatAgain!#VotersSpeak:  
02-04-2016 02:31:48,THANK YOU to everyone in Little Rock Arkansas tonight! A record crowd of 12K. #Trump2016 
02-04-2016 03:11:26,Sanders says he wants to run against me because he doesn't want to run against me. He would be so easy to beat!
02-04-2016 06:33:27,Thank you @billoreilly  @KarlRove. Ted Cruz should be immediately disqualified in Iowa with each candidate moving up one notch.
02-04-2016 06:35:50,#ICYMI: @KarlRove  @oreillyfactor discuss what Ted Cruz did to the great people of Iowa- as they went to vote. 
02-04-2016 06:36:44,.@oreillyfactor @KarlRove- as per the show an even more serious Cruz charge is the fraudulent voter violation certificate sent to everyone.
02-04-2016 06:38:05,This is the Cruz voter violation certificate sent to everyone a misdemeanor at minimum. 
02-04-2016 14:26:49,Politicians are trying to chip away at the 2nd Amendment. I won’t let them take away our guns! #Trump2016Watch: 
02-04-2016 16:12:24,Taking a helicopter to New Hampshire boarding now. Amazing activity planned. New UMASS poll very nice! 
02-04-2016 22:28:58,I will be interviewed by Anderson Cooper at 8pm on @CNN from New Hampshire. Should be very interesting!
02-05-2016 01:03:23,Watch @AC360 on NOW! @CNN
02-05-2016 16:32:30,Join us Monday February 8th @ the Verizon Wireless Arena in Manchester New Hampshire! #FITN #NHPolitics #Trump2016 
02-05-2016 16:50:49,Big storm in New Hampshire. Moved my event to Monday. Will be there next four days.
02-05-2016 17:46:58,Live Free or Die: A motto for the whole country to follow. #NewHampshire #FITN #VoteTrumpNH 
02-05-2016 20:29:19,I very much look forward to tomorrow’s debate in New Hampshire—so many things to say so much at stake. It will be an incredible evening!
02-05-2016 20:36:19,Such great support in New Hampshire. So many people are working so hard to #MakeAmericaGreatAgain!
02-05-2016 21:12:15,Heading to South Carolina really big crowd! Will be back in New Hampshire tomorrow.#MakeAmericaGreatAgain
02-05-2016 22:53:20,Join me at Clemson University on Wednesday February 10th! #MakeAmericaGreatAgain
02-06-2016 02:01:35,Really dumb @CheriJacobus. Begged my people for a job. Turned her down twice and she went hostile. Major loser zero credibility!
02-06-2016 02:08:16,10000 people in South Carolina unbelievable evening! Will be in New Hampshire tomorrow- love it. 
02-06-2016 02:42:58,I told you so. Our country totally lost control of illegal immigration even with criminals. 
02-06-2016 02:51:26,It never ends!  
02-06-2016 03:10:23,I said this was happening long ago- I will stop this immediately! 
02-06-2016 03:20:34,Border agent: We might as well abolish our immigration laws altogether
02-06-2016 14:37:35,Wow Jeb Bush whose campaign is a total disaster had to bring in mommy to take a slap at me. Not nice!
02-06-2016 15:18:18,The New Hampshire drug epidemic must stop. If elected POTUS- I will create borders  the drugs will stop pouring in. 
02-06-2016 17:37:49,Join me tomorrow in Plymouth New Hampshire! #FITN #NHPrimary 
02-06-2016 21:40:04,I love New Hampshire - will be an exciting evening!
02-07-2016 00:14:01,Come join us at the Verizon Wireless Center- Manchester New Hampshire on 2/8! Register now:  
02-07-2016 13:19:33,I will be on State of the Union @CNN with @jaketapper at 9am. Enjoy!
02-07-2016 13:43:47,I am on @foxandfriends now! Tune in!
02-07-2016 13:46:44,I will be on Meet the Press with Chuck Todd on NBC this morning. Enjoy! 
02-07-2016 14:54:35,.@ABCPolitics #GOPDebate#MakeAmericaGreatAgain #FITN 
02-07-2016 16:29:09,Great to meet everyone while having breakfast @ChezVachon this morning! #FITN #VoteTrumpNH 
02-07-2016 20:05:00,We are going to have a big event at the Verizon Wireless Arena in Manchester New Hampshire! 5K+! Join us tomorrow: 
02-07-2016 20:20:56,Thank you Newt!  
02-07-2016 21:35:50,Thank you- Plymouth New Hampshire! #FITN #NHPrimary 
02-07-2016 22:40:07,I am in New Hampshire having a great time! Loved the #GOPDebate last night! Everybody enjoy the Super Bowl. #SuperBowlSunday #SB50
02-08-2016 02:03:31,So far the Super Bowl is very boring - not nearly as exciting as politics - MAKE AMERICA GREAT AGAIN!
02-08-2016 12:01:01,My two wonderful sons Don and Eric will be on @foxandfriends at 7:02 - now! Enjoy.
02-08-2016 12:20:11,Jeb Bush has zero communication skills so he spent a fortune of special interest money on a Super Bowl ad. He is a weak candidate!
02-08-2016 16:29:53,Thank you for your support at this mornings Town Hall- in Salem New Hampshire. #FITN #NHPrimary 
02-08-2016 16:33:15,Jeb Bush is desperate - strongly in favor of #CommonCore and very weak on illegal immigration.
02-08-2016 16:38:00,Everybody is laughing at Jeb Bush-spent $100 million and is at bottom of pack. A pathetic figure!
02-08-2016 18:30:59,America needs strong leadership. Politicians can talk but they don’t get things done. Video:  
02-08-2016 19:43:20,Today's third stop- Londonderry New Hampshire! Thank you!#FITN #VoteTrumpNH 
02-08-2016 19:47:18,Now that Bush has wasted $120 million of special interest money on his failed campaign he says he would end super PACs. Sad!
02-08-2016 22:21:41,#VoteTrumpNH #NHPrimary #FITN
02-09-2016 02:20:29,Thank you New Hampshire! #FITN #NHPrimary #VoteTrumpNH  Voting questions?  
02-09-2016 04:06:58,Thank you New Hampshire! #FITN 
02-09-2016 12:00:30,Remember @JebBush wants COMMON CORE (education from D.C.) and is very weak on ILLEGAL IMMIGRATION (come as act of love). Not a leader!
02-09-2016 12:08:19,I know the Governors and Jeb Bush who has gone nasty with lies is by far the weakest of the lot. His family used private eminent domain!
02-09-2016 12:16:37,No-one has done more for people with disabilities than me. I have spent many millions of dollars to help out-and am happy to have done so!
02-09-2016 12:23:37,The polls are now showing that I am the best to win the GENERAL ELECTION. States that are never in play for Repubs will be won by me. Great!
02-09-2016 13:32:26,I will be interviewed on @foxandfriends at 8:40. A.M. Enjoy!
02-09-2016 13:37:11,MAKE AMERICA GREAT AGAIN!
02-09-2016 14:21:19,Thank you for a great night at the Verizon Wireless Arena- New Hampshire! #VoteTrumpNH#MakeAmericaGreatAgain #FITN 
02-09-2016 14:32:14,A message to the great people of New Hampshire on this important day! #VoteTrumpNH Video:  
02-09-2016 15:20:59,You can find your polling locations at:  #FITN #NHPrimary #VoteTrumpNH 
02-09-2016 16:46:17,New Hampshire vote today -  MAKE AMERICA GREAT AGAIN!
02-09-2016 21:40:19,ISIS is making big threats today - no respect for U.S.A. or our leader - If I win it will be a very different storywith very fast results
02-09-2016 22:15:34,We will immediately repeal and replace ObamaCare - and nobody can do that like me. We will save $'s and have much better healthcare!
02-09-2016 22:19:31,We will stop heroin and other drugs from coming into New Hampshire from our open southern border. We will build a WALL and have security.
02-10-2016 03:38:08,Thank you New Hampshire! Departing with my amazing family now! #FITN #NHPrimary 
02-10-2016 03:38:27,Thank you to the people of  New Hampshire I love you! Now off to South Carolina.
02-10-2016 12:58:39,Dopey Mort Zuckerman owner of the worthless @NYDailyNews has a major inferiority complex. Paper will close soon!
02-10-2016 12:59:43,Worthless @NYDailyNews which dopey Mort Zuckerman is desperately trying to sell has no buyer! Liabilities are massive!
02-10-2016 13:00:20,Like the worthless @NYDailyNews looks like @politico will be going out of business. Bad reporting- no money no cred!
02-10-2016 13:37:25,Such a great experience in New Hampshire - amazing people! Will be leaving for a big event in South Carolina today.
02-10-2016 15:22:51,So funny Jeb Bush called me a highly gifted politician and a great entertainer - I assume that is a compliment!
02-10-2016 23:49:21,Big speech tonight in South Carolina - 7:00 P.M. Tremendous crowd!
02-11-2016 01:34:25,I was referring to the fact that Jeb Bush wants to keep common core.
02-11-2016 02:12:19,THANK YOU- Clemson South Carolina! #MakeAmericaGreatAgain #SCPrimary 
02-11-2016 02:51:40,I have been consistent in my opposition to Common Core. Get rid of Common Core--- keep education local!
02-11-2016 14:13:09,There are no buyers for the worthless @NYDailyNews but little Mort Zuckerman is frantically looking. It is bleeding red ink - a total loser!
02-11-2016 15:11:56,Jeb Bush spent more than $40000000 in New Hampshire to come in 4 or 5 I spent $3000000 to come in 1st. Big difference in capability!
02-11-2016 15:40:04,.@MarkHalperin showed a focus group on @Morning_Joe me using a very bad word. I never said the word left an open blank. Please apologize!
02-11-2016 16:14:10,Remember it was the Republican Party with the help of Conservatives that made so many promises to their base BUT DIDN'T KEEP THEM! Hi DT
02-11-2016 16:51:04,He (or she) who hesitates is lost: MAKE AMERICA GREAT AGAIN!
02-11-2016 19:45:59,Jeb failed as Jeb! He gave up and enlisted Mommy and his brother (who got us into the quicksand of Iraq). Spent $120 million.Weak-no chance!
02-11-2016 20:39:33,We are getting reports from many voters that the Cruz people are back to doing very sleazy and dishonest pushpolls on me. We are watching!
02-11-2016 23:03:54,Heading to Baton Rouge Louisiana for a speech. Expecting a very large crowd! See you soon. #Trump2016 #MakeAmericaGreatAgain
02-12-2016 00:44:06,Cruz caught cold in lie after denial of push polls like lies w/ @RealBenCarson. How can he preach Christian values? 
02-12-2016 01:06:30,Just landed in Baton Rouge Louisiana. Reports are out that lines are three quarters of a mile to get in. Wow! #MakeAmericaGreatAgain
02-12-2016 03:28:28,THANK YOU- Baton Rouge Louisiana! WE will #MakeAmericaGreatAgain! #Trump2016 
02-12-2016 04:10:52,Weak JEB getting thrown out by management during speech. Do you think he will be this tough on Putin  others?  
02-29-2016 18:57:13,My wife @MELANIATRUMP will be joining @andersoncooper @AC360 tonight at 8pmE on @CNN. Enjoy! 
02-29-2016 19:46:58,Thank you Virginia! 15000 amazing supporters! Everyone get out and #VoteTrump tomorrow! 
02-29-2016 22:48:15,Trump University has a 98% approval rating. I could have settled but won't out of principle!
02-29-2016 22:59:29,Phony Rubio commercial. I could have settled but won't out of principle! See student surveys. 
03-01-2016 00:39:29,Thank you Brian France Bill Elliott @chaseelliott @DavidRagan  @RyanJNewman! #NASCAR #Trump2016 #VoteTrump
